,Star_name,Distance,Mass,Radius
132,Polaris Australis,281,1.59,3.74
133,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537
134,R Coronae Borealis,"4,566",0.85,85
135,LHS 2021,55,0.084003744,0.11817745
136,54 Piscium,36.1,0.76,0.94
137,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248
138,Mira,300,1.2,370
139,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
140,RW Cephei,"14,000",13.9,"1,158"
141,2MASSI J0847287-153237 [de],43,0.061093632,0.102763
142,Lacaille 8760,12.87,0.6,0.51
143,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
144,V838 Monocerotis,"19,896",?,380 - 750
145,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774
146,HD 140283,190,?,1.4
147,2MASSI J0937347+293142,20,0.040092696,0.09659722
148,II Pegasi,130,0.8,3.4
149,2MASS 0939−2448,17.4,0.030546816,0.09762485
150,VY Canis Majoris,"3,900",17,"1,420"
151,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248
152,Pistol Star,"25,000",100,320
153,2MASS J10073369-4555147,46,0.042001872,0.09659722
154,S Doradus,"1,69,000",24,380
155,2MASSI J1010148-040649 [de],55,0.048683988,0.10070774
156,UY Scuti,"5,100",7–10,755
157,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583
158,Barnard's Star,5.98,0.14,0.2
159,2MASSW J1036530-344138 [de],53,0.046774812,0.09968011
160,Luhman 16,6.52,0.04,?
161,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722
162,Proxima Centauri,4.25,0.12,0.15
163,DEN 1048-3956,13.15,0.073503276,0.10995641
164,KIC 8462852,"1,470",1.43,1.58
165,Luhman 16B,6.516,0.041047284,0.10481826
166,R136a1,"1,63,000",290,32
167,Luhman 16A,6.516,0.03818352,0.10379063
168,Melnick 42,"1,63,000",189,21.1
169,DENIS-P J1058.7−1548,49,0.061093632,0.102763
170,WR 102,"18,134",19,0.39
171,TWA 28,180,0.034365168,0.24560357
172,VFTS 352,"1,64,000",57.48,14.47
173,Cha 110913-773444,163,0.007636704,0.1849734
174,YBP 1194,"2,772",1.01,0.99
175,SDSS J111010.01+011613.1,63,0.008591292,0.12742612
176,Gliese 1214,47.5,0.16,0.21
177,2MASS J11145133−2618235,18.2,0.031501404,0.09865248
178,NML Cygni,"5,251",50,"1,640 - 2,770"
179,TWA 26,137,0.02863764,0.2260786
180,VB 10,18.72,0.075,0.1
181,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445
182,WOH G64,"1,63,000",<20,"1,540 - 1,730"
183,2MASSW J1155395-372735 [de],31,0.061093632,0.102763
184,TRAPPIST-1,39.6,0.089,0.12
185,2MASS J12074836-3900043,217,0.016227996,0.17572473
186,2MASS J0523-1403,40.3,0.07,0.086
187,2MASSI J1217110-031113 [de],36,0.040092696,0.09659722
188,WISE 0855−0714,7.27,0.003,?
189,2M 1237+6526,45.6,0.039138108,0.09659722
190,Icarus,"14,40,00,00,000",33,?
191,TWA 29,262,0.001909176,2.569075
